,mase,mape,smape
moirai,0.985279,0.27210100000000004,0.24191
tirex,0.8815380000000002,0.24456299999999997,0.215697
flowstate,0.8708880000000001,0.23095,0.21603000000000003
chronos,0.8321869999999998,0.221078,0.20240600000000003
timesfm,0.827015,0.228183,0.20687299999999997
